Sr.No,City,Population,Province,Region
,,(2004 census),,
1,Casablanca,"29,36,874",Casablanca,Grand Casablanca
2,Fes,"9,44,376",Fes,Fes-Boulemane
3,Sale,"8,14,871",Sale,Rabat-Sale-Zemmour-Zaer
4,Marrakesh,"7,94,620",Marrakesh,Marrakesh-Tensift-El Haouz
5,Tangier,"6,64,295",Tanger Assila,Tangier-Tetouan
6,Rabat,"6,20,996",Rabat,Rabat-Sale-Zemmour-Zaer
7,Meknes,"5,35,066",Meknes,Meknes-Tafilalet
8,Oujda,"3,98,131",Oujda Angad,Oriental
9,Kenitra,"3,52,058",Kenitra,Gharb-Chrarda-Beni Hssen
10,Agadir,"3,44,422",Agadir Ida ou tanane,Souss-Massa-Draa
11,Tetouan,"3,18,698",Tetuan,Tangier-Tetouan
12,Safi,"2,82,227",Safi,Doukkala-Abda
13,Temara,"2,25,084",Skhirat temara,Rabat-Sale-Zemmour-Zaer
14,Inzegan,"1,98,879",Inzegan Ait melloul,Souss-Massa-Draa
15,Mohammedia,"1,87,708",Mohammedia,Grand Casablanca
16,Laayoune,"1,79,542",Layoune,Laayoune-Boujdour-Sakia El Hamra
17,Khouribga,"1,65,976",Khouribga,Chaouia-Ouardigha
18,Beni Mellal,"1,62,341",Beni Mellal,Tadla-Azilal
19,Jdida,"1,43,419",Jdida,Doukkala-Abda
20,Taza,"1,37,778",Taza,Taza-Al Hoceima-Taounate
21,Ait Melloul,"1,30,105",Inzegan Ait melloul,Souss-Massa-Draa
22,Nador,"1,24,915",Nador,Oriental
23,Settat,"1,16,548",Settat,Chaouia-Ouardigha
24,Ksar El Kbir,"1,07,120",Larache,Tangier-Tetouan
25,Larache,"1,06,895",Larache,Tangier-Tetouan
26,Khemisset,"1,04,769",Khemisset,Rabat-Sale-Zemmour-Zaer
27,Guelmim,"95,599",Guelmim,Guelmim-Es Semara
28,Berrechid,"89,551",Settat,Chaouia-Ouardigha
29,Wad Zam,"83,931",Khouribga,Chaouia-Ouardigha
30,Fkih Ben Saleh,"82,407",Beni Mellal,Tadla-Azilal
31,Taourirt,"79,664",Taourirt,Oriental
32,Berkane,"79,570",Berkane,Oriental
33,Sidi Slimane,"78,036",Kenitra,Gharb-Chrarda-Beni Hssen
34,Errachidia,"75,239",Errachidia,Meknes-Tafilalet
35,Sidi Kacem,"74,036",Sidi Kacem,Gharb-Chrarda-Beni Hssen
36,Khenifra,"71,522",Khenifra,Meknes-Tafilalet
37,Tifelt,"69,640",Khemisset,Rabat-Sale-Zemmour-Zaer
38,Essaouira,"69,005",Essaouira,Marrakesh-Tensift-El Haouz
39,Taroudant,"68,726",Taroudant,Souss-Massa-Draa
40,El Kelaa des Sraghna,"68,253",Kelaat Sraghna,Marrakesh-Tensift-El Haouz
41,Oulad Teima,"66,159",Taroudant,Souss-Massa-Draa
42,Youssoufia,"64,391",Safi,Doukkala-Abda
43,Sefrou,"63,872",Sefrou,Fes-Boulemane
44,Ben Guerir,"62,693",Kelaat Sraghna,Marrakesh-Tensift-El Haouz
45,Tan-Tan,"60,560",Tan-Tan,Guelmim-Es Semara
46,Ouazzane,"57,367",Sidi Kacem,Gharb-Chrarda-Beni Hssen
47,Guercif,"56,526",Taza,Taza-Al Hoceima-Taounate
48,Dakhla,"55,618",ouad eddahab,Oued Ed-Dahab-Lagouira
